12-19 10:54:49.941 12891 13116 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:56:08.212 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 152258.00, 138646.00, 140363.00
12-19 10:56:08.214 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:56:08.275 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:56:08.276 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 151874.00, 138564.00, 140430.00
12-19 10:56:08.277 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:56:08.343 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:56:08.344 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 151660.00, 138410.00, 140784.00
12-19 10:56:08.346 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:56:08.411 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:56:08.412 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 156082.00, 142729.00, 145123.00
12-19 10:56:08.413 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:56:08.479 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:56:08.480 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 156073.00, 142698.00, 144886.00
12-19 10:56:08.482 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:56:08.543 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:56:08.544 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 156803.00, 143381.00, 145268.00
12-19 10:56:08.546 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:56:08.611 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:56:08.613 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 157530.00, 143710.00, 145601.00
12-19 10:56:08.614 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:56:08.679 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:56:08.680 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 163177.00, 148695.00, 150316.00
12-19 10:56:08.681 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:56:08.743 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:125): Start Opcv process to detect sleeve color.
12-19 10:56:08.745 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:132): Sleeve max color = 163541.00, 148949.00, 150124.00
12-19 10:56:08.747 14264 14576 I global  :  RENO - ObjectDetection.sleeveColorDetect(ObjectDetection.java:151): Sleeve position: LEFT
12-19 10:56:08.784 14264 14405 V Robocol : received command: CMD_RUN_OP_MODE(10609) Autonomous_Test
12-19 10:56:08.791 14264 14568 I System.out: stopRecordingPipeline()
12-19 10:56:08.791 14264 14568 I System.out: ...stopRecordingPipeline()
12-19 10:56:08.792 14264 14568 D UsbResiliantWebcam|DelCaptureSession: stopCapture()...
12-19 10:56:08.792 14264 14568 D UsbResiliantWebcam|DelCaptureSequence: undoStreaming()...
12-19 10:56:08.792 14264 14568 D UvcApiCaptureSession: stopCapture()...
12-19 10:56:08.793 14264 14568 D Uvc     : [jni_streamhandle.cpp:184] Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming()...
12-19 10:56:08.793 14264 14568 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming: enter...
12-19 10:56:08.793 14264 14568 D Uvc     : [stream.cpp:1514] uvc_stream_stop()...
12-19 10:56:08.793 14264 14568 D UvcStream: [stream.cpp:1542] cancelling extant transfers
12-19 10:56:08.795 14264 14411 V Robocol : sending CMD_NOTIFY_RUN_OP_MODE(661), attempt: 0
12-19 10:56:08.795 14264 14264 D OpenCvViewport: surfaceDestroyed()
12-19 10:56:08.795 14264 14264 D OpenCvViewport: CheckState(): lifecycle mandates deactivation regardless of user
12-19 10:56:08.795 14264 14264 D OpenCvViewport: CheckState(): deactivating viewport
12-19 10:56:08.795 14264 14574 W System.err: java.lang.InterruptedException
12-19 10:56:08.796 14264 14574 W System.err: 	at java.lang.Object.wait(Native Method)
12-19 10:56:08.796 14264 14574 W System.err: 	at org.firstinspires.ftc.robotcore.internal.collections.EvictingBlockingQueue.take(EvictingBlockingQueue.java:143)
12-19 10:56:08.796 14264 14574 W System.err: 	at org.openftc.easyopencv.OpenCvViewport$RenderThread.run(OpenCvViewport.java:554)
12-19 10:56:08.796 14264 14574 D OpenCvViewportRenderThread: About to exit
12-19 10:56:08.796 14264 14264 D OpenCvViewport: ...surfaceDestroyed()
12-19 10:56:08.832 14264 14568 D Uvc     : [stream.cpp:1471] (waitForAllTransfers(waiting for cancelled transfers))...
12-19 10:56:08.833 14264 14576 D UvcStream: [stream.cpp:1329] user callback thread stopped
12-19 10:56:08.834 14264 14568 D UvcStream: [stream.cpp:1485] no extant active transfers: continuing
12-19 10:56:08.834 14264 14568 D Uvc     : [stream.cpp:1471] ...()
12-19 10:56:08.834 14264 14568 D Uvc     : [stream.cpp:1189] uvc_stream_handle::stopIsochronousStreaming()...
12-19 10:56:08.834 14264 14568 D Uvc     : [libuvc/libuvc_internal.h:825] uvc_device_handle::setInterfaceAltSetting(setInterfaceAltSetting(intf=1 alt=0))...
12-19 10:56:08.834 14264 14568 D UvcDevice: setInterfaceAltSetting(1,0)
12-19 10:56:08.835 14264 14568 D UvcDevice: setInterfaceAltSetting(1,0) succeeded
12-19 10:56:08.835 14264 14568 D Uvc     : [libuvc/libuvc_internal.h:825] ...uvc_device_handle::setInterfaceAltSetting() rc=0
12-19 10:56:08.835 14264 14568 D Uvc     : [stream.cpp:1189] ...uvc_stream_handle::stopIsochronousStreaming() rc=0
12-19 10:56:08.835 14264 14568 D UvcStream: [stream.cpp:1558] awakening user thread
12-19 10:56:08.835 14264 14568 D UvcStream: [stream.cpp:1567] waiting for user callback thread to finish
12-19 10:56:08.835 14264 14568 D Uvc     : [stream.cpp:1514] ...uvc_stream_stop() rc=0
12-19 10:56:08.835 14264 14568 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming: ...exit
12-19 10:56:08.835 14264 14568 D Uvc     : [jni_streamhandle.cpp:184] ...Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming()
12-19 10:56:08.836 14264 14568 V UvcFrameCallback: destroy(hash=0x06bea895)
12-19 10:56:08.836 14264 14568 V UvcFrameCallbackData: destroy(pointer=0xc8612498)
12-19 10:56:08.837 14264 14568 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcFrameCallback_nativeReleaseCallbackState: enter...
12-19 10:56:08.837 14264 14568 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcFrameCallback_nativeReleaseCallbackState: ...exit
12-19 10:56:08.837 14264 14568 V UvcStreamHandle: destroy(pointer=0xcd724400)
12-19 10:56:08.837 14264 14568 D Uvc     : [jni_streamhandle.cpp:184] Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming()...
12-19 10:56:08.837 14264 14568 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming: enter...
12-19 10:56:08.837 14264 14568 D Uvc     : [stream.cpp:1514] uvc_stream_stop()...
12-19 10:56:08.837 14264 14568 D Uvc     : [stream.cpp:1514] ...uvc_stream_stop() rc=0
12-19 10:56:08.838 14264 14568 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming: ...exit
12-19 10:56:08.838 14264 14568 D Uvc     : [jni_streamhandle.cpp:184] ...Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeStopStreaming()
12-19 10:56:08.838 14264 14568 D Uvc     : [jni_streamhandle.cpp:200] Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeCloseStreamHandle()...
12-19 10:56:08.838 14264 14568 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeCloseStreamHandle: enter...
12-19 10:56:08.838 14264 14568 D Uvc     : [stream.cpp:1584] uvc_stream_close()...
12-19 10:56:08.838 14264 14568 D Uvc     : [streamhandle.cpp:45] uvc_stream_handle::~uvc_stream_handle()...
12-19 10:56:08.838 14264 14568 D Uvc     : [streamhandle.cpp:66] uvc_stream_handle::releaseInterface()...
12-19 10:56:08.838 14264 14568 D Uvc     : [libuvc/libuvc_internal.h:793] uvc_device_handle::releaseInterface()...
12-19 10:56:08.839 14264 14568 D UvcDevice: releaseInterface(1)
12-19 10:56:08.839 14264 14568 D UvcDevice: releaseInterface(1) succeeded
12-19 10:56:08.839 14264 14568 D Uvc     : [libuvc/libuvc_internal.h:793] ...uvc_device_handle::releaseInterface() rc=0
12-19 10:56:08.839 14264 14568 D Uvc     : [streamhandle.cpp:66] ...uvc_stream_handle::releaseInterface()
12-19 10:56:08.839 14264 14568 D Uvc     : [streamhandle.cpp:45] ...uvc_stream_handle::~uvc_stream_handle()
12-19 10:56:08.839 14264 14568 D Uvc     : [stream.cpp:1584] ...uvc_stream_close()
12-19 10:56:08.839 14264 14568 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeCloseStreamHandle: ...exit
12-19 10:56:08.839 14264 14568 D Uvc     : [jni_streamhandle.cpp:200] ...Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcStreamHandle_nativeCloseStreamHandle()
12-19 10:56:08.840 14264 14568 V UvcApiCameraCaptureSequence: destroy(hash=0x06c9387f)
12-19 10:56:08.840 14264 14568 D UvcApiCaptureSession: ...stopCapture()
12-19 10:56:08.840 14264 14568 D UvcApiCaptureSession: doClose()...
12-19 10:56:08.840 14264 14575 D RobotCore: capture sequence DelegatingCaptureSequenceId(1) reports completed: lastFrame=33
12-19 10:56:08.841 14264 14568 D UvcApiCaptureSession: ...doClose()
12-19 10:56:08.841 14264 14568 D UsbResiliantWebcam|DelCaptureSequence: ...undoStreaming()
12-19 10:56:08.841 14264 14573 D UsbResiliantWebcam|DelCaptureSession: camera session is closed: Webcam(D5386480)
12-19 10:56:08.841 14264 14568 V UsbResiliantWebcam|DelCaptureSequence: destroy(hash=0x043867d9)
12-19 10:56:08.842 14264 14575 D RobotCore: capture sequence DelegatingCaptureSequenceId(1) reports completed: lastFrame=33
12-19 10:56:08.842 14264 14568 D UsbResiliantWebcam|DelCaptureSession: ...stopCapture()
12-19 10:56:08.842 14264 14568 D UsbResiliantWebcam|DelCaptureSession: doClose()...
12-19 10:56:08.842 14264 14573 V UvcApiCaptureSession: destroy(hash=0x067e859e)
12-19 10:56:08.842 14264 14573 D UvcApiCaptureSession: destructor...
12-19 10:56:08.842 14264 14568 D UsbResiliantWebcam|DelCaptureSession: ...doClose()
12-19 10:56:08.842 14264 14573 D UvcApiCaptureSession: ...destructor
12-19 10:56:08.842 14264 14568 V CameraImpl: destroy(hash=0x068d7eb4)
12-19 10:56:08.843 14264 14568 D UsbResiliantWebcam: CameraImpl.destructor()...
12-19 10:56:08.843 14264 14568 D UsbResiliantWebcam: externalDestructor()...
12-19 10:56:08.843 14264 14575 V UsbResiliantWebcam|DelCaptureSession: destroy(hash=0x0ffeed23)
12-19 10:56:08.844 14264 14575 D UsbResiliantWebcam|DelCaptureSession: destructor()...
12-19 10:56:08.844 14264 14573 D CameraManager: camera reports closed: CameraImpl(UsbResiliantWebcam(Webcam(D5386480)))
12-19 10:56:08.844 14264 14575 D UsbResiliantWebcam|DelCaptureSession: ...destructor()
12-19 10:56:08.844 14264 14568 V CameraImpl: destroy(hash=0x065780a2)
12-19 10:56:08.845 14264 14568 D UvcDeviceHandle: CameraImpl.destructor()...
12-19 10:56:08.845 14264 14568 D UvcDeviceHandle: externalDestructor()...
12-19 10:56:08.846 14264 14568 D UsbResiliantWebcam: changeDelegatedCamera(CameraImpl(UvcDeviceHandle(pointer=0xc87d0fd0|UvcDevice(/dev/bus/usb/003/003)))->null)...
12-19 10:56:08.846 14264 14568 D CachingExposureControl: onCameraChanged(CameraImpl(UvcDeviceHandle(pointer=0xc87d0fd0|UvcDevice(/dev/bus/usb/003/003)))->null)...
12-19 10:56:08.846 14264 14568 D CachingExposureControl: ...onCameraChanged(CameraImpl(UvcDeviceHandle(pointer=0xc87d0fd0|UvcDevice(/dev/bus/usb/003/003)))->null)
12-19 10:56:08.847 14264 14568 D UsbResiliantWebcam: ...changeDelegatedCamera(CameraImpl(UvcDeviceHandle(pointer=0xc87d0fd0|UvcDevice(/dev/bus/usb/003/003)))->null)
12-19 10:56:08.847 14264 14568 D UvcDeviceHandle: ...externalDestructor()
12-19 10:56:08.847 14264 14568 V UvcDeviceHandle: destroy(pointer=0xc87d0fd0)
12-19 10:56:08.848 14264 14568 D UvcDeviceHandle: destructor...
12-19 10:56:08.849 14264 14568 D Uvc     : [jni_devicehandle.cpp:87] Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDeviceHandle_nativeReleaseRefDeviceHandle()...
12-19 10:56:08.849 14264 14568 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDeviceHandle_nativeReleaseRefDeviceHandle: enter...
12-19 10:56:08.849 14264 14568 D Uvc     : [libuvc/libuvc_internal.h:872] uvc_device_handle::~uvc_device_handle()...
12-19 10:56:08.849 14264 14568 D Uvc     : [libuvc/libuvc_internal.h:840] uvc_device_handle::deconstruct()...
12-19 10:56:08.849 14264 14568 D Uvc     : [libuvc/libuvc_internal.h:751] uvc_device_handle::stop()...
12-19 10:56:08.849 14264 14568 D Uvc     : [libuvc/libuvc_internal.h:751] ...uvc_device_handle::stop()
12-19 10:56:08.849 14264 14568 D Uvc     : [libuvc/libuvc_internal.h:865] uvc_device_handle::close()...
12-19 10:56:08.849 14264 14568 E libusb  : [39.984746] [000038e8] libusb: error [do_close] Device handle closed while transfer was still being processed, but the device is still connected as far as we know
12-19 10:56:08.849 14264 14568 E libusb  : [39.984816] [000038e8] libusb: error [do_close] A cancellation hasn't even been scheduled on the transfer for which the device is closing
12-19 10:56:08.849 14264 14568 D Uvc     : [libuvc/libuvc_internal.h:865] ...uvc_device_handle::close()
12-19 10:56:08.849 14264 14568 D Uvc     : [libuvc/libuvc_internal.h:840] ...uvc_device_handle::deconstruct()
12-19 10:56:08.849 14264 14568 D Uvc     : [device.cpp:433] uvc_free_device_info()...
12-19 10:56:08.849 14264 14568 D Uvc     : [device.cpp:433] ...uvc_free_device_info()
12-19 10:56:08.849 14264 14568 D Uvc     : [libuvc/libuvc_internal.h:872] ...uvc_device_handle::~uvc_device_handle()
12-19 10:56:08.849 14264 14568 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDeviceHandle_nativeReleaseRefDeviceHandle: ...exit
12-19 10:56:08.849 14264 14568 D Uvc     : [jni_devicehandle.cpp:87] ...Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDeviceHandle_nativeReleaseRefDeviceHandle()
12-19 10:56:08.850 14264 14568 V UvcDevice: destroy(pointer=0xc8c95850|/dev/bus/usb/003/003)
12-19 10:56:08.850 14264 14568 D UsbDeviceConnectionJNI: close
12-19 10:56:08.850 14264 14568 D Uvc     : [jni_device.cpp:126] Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDevice_nativeReleaseRefDevice()...
12-19 10:56:08.850 14264 14568 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDevice_nativeReleaseRefDevice: enter...
12-19 10:56:08.850 14264 14568 D Uvc     : [device.cpp:882] uvc_unref_device()...
12-19 10:56:08.852 14264 14568 D Uvc     : [device.cpp:882] ...uvc_unref_device()
12-19 10:56:08.852 14264 14568 V Uvc     : API: Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDevice_nativeReleaseRefDevice: ...exit
12-19 10:56:08.853 14264 14568 D Uvc     : [jni_device.cpp:126] ...Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_UvcDevice_nativeReleaseRefDevice()
12-19 10:56:08.853 14264 14568 V LibUsbDevice: destroy(pointer=0xcd72faa0)
12-19 10:56:08.853 14264 14568 D Uvc     : [jni_libusb_device.cpp:64] Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_LibUsbDevice_nativeReleaseRefDevice()...
12-19 10:56:08.853 14264 14568 D Uvc     : [jni_libusb_device.cpp:64] ...Java_org_firstinspires_ftc_robotcore_internal_camera_libuvc_nativeobject_LibUsbDevice_nativeReleaseRefDevice()
12-19 10:56:08.853 14264 14568 D UvcDeviceHandle: ...destructor
12-19 10:56:08.853 14264 14568 D UvcDeviceHandle: ...CameraImpl.destructor()
12-19 10:56:08.854 14264 14568 D UsbResiliantWebcam: ...externalDestructor()
12-19 10:56:08.854 14264 14568 V UsbResiliantWebcam: destroy(hash=0x02552297)
12-19 10:56:08.854 14264 14568 D UsbResiliantWebcam: destructor()...
12-19 10:56:08.854 14264 14568 D UsbResiliantWebcam: ...destructor()
12-19 10:56:08.855 14264 14568 D UsbResiliantWebcam: ...CameraImpl.destructor()
12-19 10:56:08.909 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:08.915 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 189.0, Blue = 320.0
12-19 10:56:08.919 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:08.929 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 189.0, Blue = 320.0
12-19 10:56:08.933 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:08.940 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 189.0, Blue = 320.0
12-19 10:56:08.944 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:08.952 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 189.0, Blue = 320.0
12-19 10:56:08.957 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:08.964 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 189.0, Blue = 320.0
12-19 10:56:08.969 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:08.975 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 189.0, Blue = 320.0
12-19 10:56:08.980 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:08.988 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 189.0, Blue = 320.0
12-19 10:56:08.993 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.000 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 189.0, Blue = 320.0
12-19 10:56:09.004 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.011 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 189.0, Blue = 320.0
12-19 10:56:09.015 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.022 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 189.0, Blue = 320.0
12-19 10:56:09.026 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.038 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 185.0, Blue = 316.0
12-19 10:56:09.042 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.049 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 185.0, Blue = 316.0
12-19 10:56:09.054 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.062 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 185.0, Blue = 316.0
12-19 10:56:09.067 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.076 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 185.0, Blue = 316.0
12-19 10:56:09.081 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.088 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 185.0, Blue = 316.0
12-19 10:56:09.093 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.101 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 185.0, Blue = 316.0
12-19 10:56:09.106 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.113 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 185.0, Blue = 316.0
12-19 10:56:09.118 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.129 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 172.0, Blue = 316.0
12-19 10:56:09.134 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.142 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 172.0, Blue = 297.0
12-19 10:56:09.146 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.154 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 172.0, Blue = 297.0
12-19 10:56:09.159 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.166 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 172.0, Blue = 297.0
12-19 10:56:09.171 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.178 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 172.0, Blue = 297.0
12-19 10:56:09.182 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.190 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 172.0, Blue = 297.0
12-19 10:56:09.195 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.201 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 172.0, Blue = 297.0
12-19 10:56:09.206 14264 14568 I global  :  RENO - ChassisWith4Motors.drivingWithPID(ChassisWith4Motors.java:678): Motors power - FL (0.30), FR (0.30), BL (0.30), BR (0.30)
12-19 10:56:09.214 14264 14568 I global  :  RENO - ChassisWith4Motors.runWithColorSensor(ChassisWith4Motors.java:200): Red = 172.0, Blue = 297.0
